Name,Type
self.Form,QWidget
self.frame,QFrame
self.el_contact_name,QLineEdit
self.el_contact_position,QLineEdit
self.el_contact_phone,QLineEdit
self.label_5,QLabel
self.frame_3,QFrame
self.label_4,QLabel
self.me_contact_name,QLineEdit
self.me_contact_position,QLineEdit
self.me_contact_phone,QLineEdit
self.frame_2,QFrame
self.label_6,QLabel
self.co_contact_name,QLineEdit
self.co_contact_position,QLineEdit
self.co_contact_phone,QLineEdit
self.frame_5,QFrame
self.label,QLabel
self.owner_name,QLineEdit
self.label_2,QLabel
self.consultant_name,QLineEdit
self.label_3,QLabel
self.employer_name,QLineEdit
self.groupBox_4,QGroupBox
self.project_label,QLabel
self.project_name,QLineEdit
self.project_title_label,QLabel
self.project_code,QLineEdit
self.p_no_label_2,QLabel
self.project_unique_code,QLineEdit
self.project_no_label_3,QLabel
self.project_no_label_4,QLabel
self.p_no_label_4,QLabel
self.info_tab_rev_hint_combo,QComboBox
self.groupBox_3,QGroupBox
self.project_site_location,QPlainTextEdit
self.groupBox,QGroupBox
self.project_voltage_variation,QComboBox
self.label_35,QLabel
self.project_frequency,QComboBox
self.label_41,QLabel
self.label_40,QLabel
self.label_37,QLabel
self.label_42,QLabel
self.label_38,QLabel
self.label_36,QLabel
self.label_39,QLabel
self.project_frequency_variation,QComboBox
self.min_temprature,QSpinBox
self.project_m_voltage,QComboBox
self.max_temprature,QSpinBox
self.project_l_voltage,QComboBox
self.humidity,QSpinBox
self.label_55,QLabel
self.altitude_elevation,QSpinBox
self.groupBox_5,QGroupBox
self.electro_motor_start_type_10,QComboBox
self.label_56,QLabel
self.upload_p_id_btn,QPushButton
self.label_57,QLabel
self.label_58,QLabel
self.pushButton_10,QPushButton
self.label_60,QLabel
self.pushButton_11,QPushButton
self.label_59,QLabel
self.label_61,QLabel
self.label_62,QLabel
self.pushButton_12,QPushButton
self.pushButton_13,QPushButton
self.label_63,QLabel
self.pushButton_15,QPushButton
self.label_64,QLabel
self.pushButton_14,QPushButton
self.upload_technical_data_btn,QPushButton
self.label_65,QLabel
self.label_66,QLabel
self.label_67,QLabel
self.electro_motor_start_type_11,QComboBox
self.electro_motor_start_type_12,QComboBox
self.electro_motor_start_type_13,QComboBox
self.groupBox_2,QGroupBox
self.proj_avl_schneider,QCheckBox
self.pushButton_2,QPushButton
self.pushButton_4,QPushButton
self.pushButton_8,QPushButton
self.proj_avl_hyundai,QCheckBox
self.proj_avl_siemens,QCheckBox
self.pushButton_6,QPushButton
